 Kello      Hinta   M‰‰r‰  Ostaja   Myyj‰
 18:19:13    8.92    1000     MLI     NRD
 18:19:13    8.93     380     MLI     NRD
 18:19:08    8.92     299     MLI     EQB
 18:19:08    8.92    1700     MLI     NRD
 18:19:08    8.92    2300     MLI     DBL
 18:19:08    8.92      12     MLI     MSI
 18:19:08    8.92    2000     MLI     OPV
 18:19:08    8.92    1000     MLI     EQB
 18:19:08    8.92      33     MLI     EQB
 18:19:08    8.92    5509     MLI     MLI
 18:19:06    8.92     400     CAR     EQB
 18:19:04    8.92    4567     SWB     EQB
 18:19:04    8.92     133     SWB     MSI
 18:19:04    8.92    1300     SWB     GSI
 18:19:03    8.92    2000     DDB     GSI
 18:19:01    8.92    1700     SWB     GSI
 18:19:01    8.92    1000     SWB     EQB
 18:19:01    8.92    2300     SWB     EQB
 18:18:54    8.91     303     ABC     EVL
 18:18:54    8.91     197     MLI     EVL
 18:18:50    8.91    8076     MLI     NIP
 18:18:48    8.92     300     CAR     EQB
 18:18:42    8.91    1727     MLI     DBL
 18:18:42    8.91   20000     MLI     CDV
 18:18:41    8.91    5500     MLI     BPP
 18:18:41    8.92     600     CAR     EQB
 18:18:40    8.92     300     CAR     EQB
 18:18:40    8.92     100     CAR     MLI
 18:18:40    8.92     400     CAR     MLI
 18:18:40    8.91     500     MLI     NRD
 18:18:35    8.91    4000     MLI     DBL
 18:18:35    8.91    5804     MLI     EPB
 18:18:34    8.90      50     GSI     EVL
 18:18:32    8.90    1069     GSI     GSI
 18:18:29    8.91     200     CAR     EPB
 18:18:29    8.91    2000     OPV     EPB
 18:18:29    8.91    1996     INT     EPB
 18:18:29    8.84  100000     OPS     OPS
 18:18:22    8.91     200     MLI     SGP
 18:18:16    8.91     200     MLI     SGP
 18:18:13    8.91    3500     MLI     DIF
 18:18:13    8.91      20     MLI     NRD
 18:18:13    8.91    3500     MLI     DBL
 18:18:13    8.91     417     MLI     UBS
 18:18:10    8.90      50     MLI     EVL
 18:18:08    8.91     100     CAR     UBS
 18:18:06    8.91     700     CAR     UBS
 18:18:02    8.91    6874     JPM     UBS
 18:18:02    8.91    1100     JPM     GSI
 18:18:01    8.91     600     CAR     GSI
 18:18:01    8.91    3300     CAR     GSI
 18:18:01    8.91    2000     CAR     OPV
 18:18:00    8.90   12500     MLI     OPS
 18:17:55    8.91     200     CAR     DBL
 18:17:53    8.90     600     DDB     DBL
 18:17:53    8.90    1400     DDB     OPV
